log_name,tag,hidden_size,hidden_layers,epochs,batch_size,train_loss,train_acc,val_loss,val_acc
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,1,32,1.904416972902086,0.3537142872810364,1.4477536506879898,0.4454285800457001
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,2,32,1.2918955759472317,0.4992063343524933,1.2105128150213331,0.5417618751525879
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,3,32,1.058129922253745,0.605904757976532,0.966570053100586,0.6549524068832397
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,4,32,0.9144170803342548,0.6623809337615967,0.8695155803135464,0.6784762144088745
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,5,32,0.8838981528963361,0.6677777767181396,0.96825041443961,0.6359999775886536
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,6,32,0.8566487478415171,0.6766666769981384,0.8714781233583178,0.6699047684669495
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,7,32,0.8535865267344883,0.6754603385925293,0.8958007766632806,0.6735237836837769
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,8,32,0.8256627162978762,0.6826031804084778,0.8716576865741185,0.6708571314811707
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,9,32,0.8254447559137194,0.6846349239349365,0.965314881279355,0.6599047780036926
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,10,32,0.8070501477075002,0.6896190643310547,0.836478120463235,0.6782857179641724
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,11,32,0.8122894898066445,0.6869206428527832,0.8671076788448152,0.6700476408004761
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,12,32,0.8005758130663917,0.6920635104179382,0.8399389111655099,0.6752380728721619
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,13,32,0.7866838721017989,0.6926031708717346,0.8213814137776693,0.6920475959777832
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,14,32,0.781120901134279,0.6946666836738586,0.8585455161730449,0.6657142639160156
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,15,32,0.7842011195894272,0.6958412528038025,0.8348958844230289,0.6902381181716919
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,16,32,0.7749058425161574,0.6984761953353882,0.8181111890929086,0.6954761743545532
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,17,32,0.7773828785532997,0.6978412866592407,0.8481176880654835,0.6946666836738586
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,18,32,0.7660276280433412,0.7010475993156433,0.8152312407834189,0.6953809261322021
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,19,32,0.7571496089375208,0.7040952444076538,0.8436868332908267,0.6891428828239441
"2024-05-13_13:42:13_bs=32,e=20,hl=1,hs=32",depth_and_size_experimentation,32,1,20,32,0.7520938527924674,0.705650806427002,0.8444423790205092,0.6894285678863525
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,1,32,1.4874371085923817,0.5835555791854858,0.901578323886508,0.6516190767288208
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,2,32,0.8139081956923954,0.687682569026947,0.8147606668018159,0.7092857360839844
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,3,32,0.733418868878531,0.7203491926193237,0.6921881670724778,0.7476666569709778
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,4,32,0.7118259758570837,0.7379364967346191,0.8369694133372534,0.706428587436676
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,5,32,0.6861379621672252,0.7514603137969971,0.7020755027589344,0.7482380867004395
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,6,32,0.6781074584590064,0.7580952644348145,0.7338395607357934,0.7534762024879456
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,7,32,0.6642791979426429,0.760190486907959,0.7620269747915722,0.7222381234169006
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,8,32,0.6549249675992935,0.7655237913131714,0.7619314614250546,0.7485238313674927
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,9,32,0.6587466501205687,0.7640634775161743,0.6940346663111732,0.7625238299369812
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,10,32,0.6475200045449393,0.7690793871879578,0.7035390391576858,0.7613333463668823
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,11,32,0.6310739411588699,0.7742539644241333,0.6551799939643769,0.7737143039703369
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,12,32,0.628994268485478,0.7777777910232544,0.6679938550222487,0.780047595500946
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,13,32,0.6270006833606296,0.7770476341247559,0.7889890901020595,0.7369999885559082
"2024-05-13_13:42:53_bs=32,e=20,hl=1,hs=64",depth_and_size_experimentation,64,1,14,32,0.617794004300284,0.7808889150619507,0.7672333110287076,0.7255714535713196
